,importance
total_reviews,0.7936660544750248
product_category_Power & Batteries,0.08261836154889621
discount_percentage,0.02733624738293201
discounted_price,0.01962505200466368
original_price,0.01713602059368968
is_best_seller_Best Seller,0.014177895680934553
product_rating,0.012034314027851082
product_category_Other Electronics,0.00927426466146371
buy_box_availability_Add to cart,0.004941196236867772
is_best_seller_Limited time deal,0.0033959286264608206
